windSpd,windDir,swellFreq,swellAmpl,swellDir,streamSpd,streamDir,airT,airP,airH,waterT,waterS,time,sunUV,sunLux,sunOcta,spd,drift,consumption,roll,production
10.0,2.0,2.0,0.0,3.0,1.0,6.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,6.0,-2.437028263794012,-1.2509979106002849,47.71333211665461,23.258109167793155,0.0
1.0,5.0,0.0,1.0,14.0,1.0,1.0,3.0,4.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,1.4370857704896929,2.733000597945704,9.66610812569014,12.593961784374828,0.0
0.0,3.0,0.0,9.0,0.0,1.0,13.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,0.0,5.0,0.4095966534791833,1.5981675069299701,1.999523911359238,18.578346937840923,0.0
2.0,14.0,0.0,5.0,14.0,0.0,11.0,2.0,3.0,0.0,1.0,1.0,4.0,0.0,0.0,6.0,3.0788421912299087,1.4666560172753147,14.327290726022804,-19.738890043710942,0.0
1.0,0.0,0.0,2.0,13.0,1.0,2.0,3.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.156300468851575,-2.8565628687826186,6.457689803073103,27.264090504243484,14.653313203518545
0.0,15.0,1.0,7.0,0.0,0.0,11.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,7.0,5.0,0.4536188634240096,1.145756172269642,1.916624551776397,-22.36006261975427,980.3907217265437
0.0,7.0,0.0,0.0,13.0,0.0,11.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.7590513641684887,1.3640267285632108,4.276159763609097,4.046566514817338,0.0
1.0,0.0,1.0,5.0,2.0,1.0,12.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.2365610366172743,1.3866283549751734,6.740269547891183,28.08472310271061,96.62599257022569
1.0,12.0,0.0,4.0,15.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.4344415501415209,2.0383453663787763,11.109866028837088,-10.691552016608856,0.0
0.0,11.0,0.0,5.0,11.0,1.0,8.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.028415068108422536,-0.2679937268390626,0.2886324532926696,-7.874814221426172,0.0
2.0,8.0,0.0,1.0,15.0,0.0,1.0,3.0,4.0,1.0,0.0,1.0,2.0,4.0,1.0,3.0,1.40234671704871,1.6251501058392939,13.275693705313962,2.214539924643858,255.27975518202544
2.0,14.0,0.0,1.0,6.0,0.0,15.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,3.1694816709274463,1.743682935363564,16.7261181595875,-16.860258067813433,32.944207875021704
3.0,17.0,0.0,4.0,9.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,1.2049716140949498,2.3303466964067847,17.46267374261766,-29.22780516437304,0.0
0.0,10.0,0.0,2.0,5.0,1.0,4.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,6.0,0.2725362195122065,-1.72023628066288,3.285595724856272,-6.522955904749495,195.25981503157502
0.0,1.0,0.0,5.0,3.0,0.0,5.0,2.0,4.0,1.0,1.0,1.0,4.0,0.0,0.0,7.0,1.3259398967428873,0.9958367516954214,5.4044038797528735,23.445264204571128,0.0
6.0,5.0,0.0,2.0,11.0,0.0,4.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-0.2609457829158642,-1.6113755151411295,33.538775945697196,13.206725364146841,1.856505705964
2.0,1.0,0.0,5.0,3.0,1.0,14.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,2.451908682982052,1.6865755733690104,14.356798182565734,25.744765239818012,0.0
2.0,16.0,0.0,9.0,0.0,1.0,12.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,5.0011963050598345,1.445453548212988,19.975241254185654,-24.08588970460421,15.059548779040966
0.0,3.0,1.0,7.0,9.0,1.0,12.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,7.0,0.09662723957709292,1.2719289279168562,0.504479253012078,17.085389594468133,0.0
1.0,17.0,0.0,4.0,7.0,1.0,1.0,0.0,4.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,2.018957807104086,2.3206779208203523,10.947952062166202,-28.264070810095404,1.3287492311821658
1.0,13.0,0.0,1.0,0.0,0.0,4.0,3.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.7480069517730368,1.5383153735102917,9.676033138267133,-15.900325083717167,2.6463259453103416
1.0,5.0,0.0,3.0,5.0,1.0,9.0,2.0,4.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,1.175714461089814,0.7880488391052887,9.357092574152302,10.363425255213356,0.0
0.0,15.0,0.0,5.0,13.0,0.0,6.0,2.0,4.0,2.0,1.0,0.0,3.0,0.0,0.0,6.0,0.2425841124194034,-0.5152313264402664,1.0927154644207742,-20.578051294688358,26.110966443839835
0.0,11.0,0.0,0.0,6.0,0.0,15.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.4323994193379047,1.6250066168415689,4.226235133001603,-8.219293819370202,0.0
0.0,0.0,0.0,3.0,6.0,0.0,12.0,2.0,3.0,3.0,1.0,1.0,4.0,0.0,0.0,7.0,0.06472551195067369,1.5000006920057007,0.3396966983952677,29.4237701718775,0.0
1.0,11.0,0.0,9.0,15.0,1.0,13.0,0.0,4.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,1.1323993714385692,1.6556169412849229,9.71924260089524,-9.51029546333984,7.029749246661733
1.0,7.0,0.0,7.0,6.0,1.0,15.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.4470961524034585,2.0761253740308017,5.5985093166731215,6.258964280766477,1.3335030958240088
3.0,10.0,4.0,7.0,11.0,1.0,3.0,3.0,4.0,1.0,1.0,0.0,3.0,0.0,1.0,7.0,0.4054355958537037,-2.0422975727847192,15.925679447137725,-5.384647573980999,82.80180103375962
7.0,3.0,0.0,8.0,17.0,0.0,8.0,3.0,3.0,1.0,0.0,1.0,3.0,0.0,1.0,6.0,-0.8148108420065725,-1.5649210908857831,37.038599902908985,19.95240001868213,61.500337416993396
3.0,4.0,1.0,8.0,6.0,1.0,8.0,2.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.947627437454736,0.44989679282676703,18.50567615881916,14.646902369509752,0.0
7.0,17.0,0.0,7.0,9.0,1.0,13.0,0.0,5.0,3.0,1.0,0.0,3.0,0.0,0.0,4.0,-0.6104742742419089,1.3247332745550418,36.51711818727824,-28.549811994147444,0.0
0.0,9.0,0.0,2.0,4.0,1.0,14.0,0.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,4.0,0.4498866668151404,1.924352756861892,4.92763626006394,-1.8838425032748771,0.0
0.0,2.0,0.0,9.0,15.0,1.0,9.0,3.0,4.0,2.0,0.0,1.0,2.0,0.0,1.0,4.0,0.19388005531570005,0.17091846998957028,0.8545230619386461,21.1638276923798,45.30495371536222
2.0,1.0,0.0,8.0,6.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0731092028954734,2.230812242431266,12.293455331018352,25.355173603061605,3.2120098386262588
3.0,9.0,1.0,0.0,10.0,0.0,8.0,0.0,4.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.14626581181673284,0.8267386285124259,18.014457504311512,-0.6028194977588252,0.0
0.0,10.0,0.0,2.0,15.0,0.0,4.0,0.0,5.0,2.0,1.0,1.0,4.0,0.0,0.0,5.0,0.046885312628139976,-1.5166736362650464,0.31054723829918623,-3.334192487368919,0.0
5.0,6.0,0.0,0.0,15.0,0.0,5.0,0.0,2.0,1.0,1.0,1.0,2.0,3.0,6.0,4.0,0.010579546400853918,-1.0686836216267015,29.787049675863546,9.101817797862454,1072.4294286051622
